tweet_id,favorite_count,retweet_count
851464819735769094,25094,7457
851224888060895234,21378,6033
850753642995093505,32104,9802
850380195714523136,13519,2765
850333567704068097,3550,352
850145622816686080,16913,4049
850019790995546112,21205,5178
849776966551130114,31599,8038
849668094696017920,0,5250
849412302885593088,16463,3327
849336543269576704,11848,1998
849051919805034497,44118,9033
848690551926992896,26182,4579
848324959059550208,25715,4885
848213670039564288,8486,793
848212111729840128,16968,3262
847978865427394560,0,3460
847971574464610304,0,457
847962785489326080,24455,5418
847842811428974592,5703,1428
847617282490613760,7294,451
847606175596138505,19546,3609
847251039262605312,21292,4567
847157206088847362,20807,6227
847116187444137987,22318,3395
846874817362120707,20947,4181
846514051647705089,46581,12369
846505985330044928,14744,3295
846153765933735936,33092,9661
846139713627017216,32211,10517
846042936437604353,16679,3085
845812042753855489,30612,9330
845677943972139009,26217,5099
845397057150107648,7972,1935
845306882940190720,24363,5756
845098359547420673,0,8182
844979544864018432,14252,2756
844973813909606400,15804,3436
844704788403113984,40485,11055
844580511645339650,17234,3364
844223788422217728,14261,2347
843981021012017153,15821,3124
843856843873095681,22404,4950
843604394117681152,17683,2948
843235543001513987,22489,6481
842846295480000512,15929,3850
842765311967449089,7074,1363
842535590457499648,18965,3751
842163532590374912,25664,6218
842115215311396866,14686,3248
841833993020538882,0,16455
841680585030541313,26880,8311
841439858740625411,13251,3935
841320156043304961,20719,5824
841314665196081154,16609,5034
841077006473256960,24025,5698
840761248237133825,0,1885
840728873075638272,0,17404
840698636975636481,189,2
840696689258311684,12914,1053
840632337062862849,9414,1885
840370681858686976,17297,4893
840268004936019968,20255,6164
839990271299457024,14124,2471
839549326359670784,28947,8373
839290600511926273,0,154
839239871831150596,28608,7034
838952994649550848,20631,4275
838921590096166913,11752,2235
838916489579200512,0,36
838831947270979586,0,11916
838561493054533637,11485,1426
838476387338051585,23790,5197
838201503651401729,0,10887
838150277551247360,1768,354
838085839343206401,149,0
838083903487373313,18574,3397
837820167694528512,36028,8483
837482249356513284,4040,477
837471256429613056,13480,2477
837366284874571778,22266,5714
837110210464448512,16889,2590
836989968035819520,13419,2477
836753516572119041,20274,4983
836677758902222849,13293,2398
836648853927522308,0,593
836397794269200385,0,29834
836380477523124226,15522,3195
836260088725786625,22422,4633
836001077879255040,20168,4636
835685285446955009,0,8826
835574547218894849,18780,3918
835536468978302976,0,1842
835309094223372289,0,22737
835297930240217089,17316,3235
835264098648616962,8176,1842
835246439529840640,2203,78
835172783151792128,27590,6215
835152434251116546,23711,3263
834931633769889797,11444,1789
834786237630337024,22337,5927
834574053763584002,14470,2747
834477809192075265,0,11558
834458053273591808,10150,1813
834209720923721728,21777,5186
834167344700198914,16658,3935
834089966724603904,10612,2302
834086379323871233,13808,2404
833863086058651648,14168,2604
833826103416520705,16215,3729
833732339549220864,0,234
833722901757046785,21872,3480
833479644947025920,15706,2243
833124694597443584,21346,5250
832998151111966721,14060,2405
832769181346996225,0,40
832757312314028032,17793,3935
832682457690300417,12562,3187
832645525019123713,3087,563
832636094638288896,16777,3036
832397543355072512,12640,2414
832369877331693569,18146,3460
832273440279240704,11967,2530
832215909146226688,0,6718
832215726631055365,0,10181
832088576586297345,70,2
832040443403784192,0,10562
832032802820481025,18867,5049
831939777352105988,25409,6663
831926988323639298,361,35
831911600680497154,29271,7077
831670449226514432,11062,1971
831650051525054464,7604,2109
831552930092285952,9539,2489
831322785565769729,9733,1662
831315979191906304,6905,1213
831309418084069378,12422,2655
831262627380748289,12613,2230
830956169170665475,8449,1626
830583320585068544,70940,18320
830173239259324417,0,6206
830097400375152640,10415,3272
829878982036299777,0,5459
829861396166877184,12966,2129
829501995190984704,33685,11558
829449946868879360,11100,2207
829374341691346946,36731,10151
829141528400556032,26013,8076
829011960981237760,56238,17657
828801551087042563,0,3707
828770345708580865,27145,6406
828708714936930305,38876,12241
828650029636317184,10090,1469
828409743546925057,6677,1253
828408677031882754,8119,1400
828381636999917570,13406,2423
828376505180889089,7842,1158
828372645993398273,13306,3204
828361771580813312,2327,184
828046555563323392,12495,3122
828011680017821696,11008,2342
827933404142436356,21406,5699
827653905312006145,16395,3281
827600520311402496,7865,1034
827324948884643840,16879,3343
827199976799354881,11243,2449
826958653328592898,22931,5459
826848821049180160,38796,11157
826615380357632002,0,4311
826598799820865537,5439,277
826598365270007810,10715,2562
826476773533745153,19593,4579
826240494070030336,14118,2822
826204788643753985,5188,1018
826115272272650244,16683,3425
825876512159186944,11126,2042
825829644528148480,13561,2720
825535076884762624,55404,18785
825147591692263424,19485,4999
825120256414846976,0,1405
825026590719483904,6756,1405
824796380199809024,0,6007
824775126675836928,15934,3855
824663926340194305,10724,1898
824325613288833024,12541,11356
824297048279236611,16032,4231
824025158776213504,5085,646
823939628516474880,11349,2967
823719002937630720,0,12289
823699002998870016,13409,2649
823581115634085888,13902,2895
823333489516937216,743,29
823322678127919110,16770,4397
823269594223824897,0,10792
822975315408461824,18436,3767
822872901745569793,141136,48035
822859134160621569,14091,2497
822647212903690241,0,7040
822610361945911296,15748,3243
822489057087389700,19356,7040
822462944365645825,30405,16074
822244816520155136,37386,10792
822163064745328640,0,5270
821886076407029760,12126,2566
821813639212650496,0,3659
821765923262631936,8999,1824
821522889702862852,8566,1939
821421320206483457,0,6138
821407182352777218,12576,4773
821153421864615936,271,10
